id,record_id,table_id,title,description
380,10081585,0,"Parent: 387 Child: 87",""
381,10081586,0,"2007-3-16|Albu Issa|Iraq|Bombing-Explosion|3",""
382,10081587,0,"Parent: 389 Child: 87",""
383,10081588,0,"2007-3-22|Baghdad|Iraq|Bombing-Explosion|",""
384,10081589,0,"Parent: 391 Child: 87",""
385,10081590,0,"2007-3-23|Baghdad|Iraq|Facility-Infrastructure A",""
386,10081591,0,"Parent: 393 Child: 87",""
387,10081592,0,"2007-4-12|Baghdad|Iraq|Bombing-Explosion|8",""
388,10081593,0,"Parent: 395 Child: 87",""
389,10081594,0,"2007-4-18|Baghdad|Iraq|Bombing-Explosion|127",""
390,10081595,0,"Parent: 397 Child: 87",""
391,10081596,0,"2007-5-19|Hamid Shifi village|Iraq|Armed Assault",""
392,10081597,0,"Parent: 399 Child: 87",""
393,10081598,0,"2007-6-1|Baqouba|Iraq|Bombing-Explosion|3",""
394,10081599,0,"Parent: 401 Child: 87",""
395,10081600,0,"2007-6-2|Taz Khurmato|Iraq|Bombing-Explosion|0",""
396,10081601,0,"Parent: 403 Child: 87",""
397,10081602,0,"2007-6-2|Baghdad|Iraq|Assassination|1",""
398,10081603,0,"Parent: 405 Child: 87",""
399,10081604,0,"2007-6-8|Kanan|Iraq|Hostage Taking Kidnapping|15",""
400,10081605,0,"Parent: 407 Child: 87",""
401,10081606,0,"2007-6-9|Baghdad|Iraq|Bombing-Explosion|15",""
402,10081607,0,"Parent: 409 Child: 87",""
403,10081608,0,"2007-6-11|Baqouba|Iraq|Bombing-Explosion|1",""
404,10081609,0,"Parent: 411 Child: 87",""
405,10081610,0,"2007-6-13|Samarra|Iraq|Bombing-Explosion|0",""
406,10081611,0,"Parent: 413 Child: 87",""
407,10081612,0,"2007-6-21|Sulaiman Bek|Iraq|Bombing-Explosion|18",""
408,10081613,0,"Parent: 415 Child: 87",""
409,10081614,0,"2007-6-30|Abbotsinch|Great Britain|Facility-Infr",""
410,10081615,0,"Parent: 417 Child: 87",""
411,10081616,0,"2007-7-2||Iraq|Armed Assault|1",""
412,10081617,0,"Parent: 419 Child: 87",""
413,10081618,0,"2007-7-14|Miran Shah|Pakistan|Bombing-Explosion|",""
414,10081619,0,"Parent: 421 Child: 8",""
415,10081620,0,"2007-8-24|Samarra|Iraq|Armed Assault|3",""
416,10081621,0,"Parent: 423 Child: 87",""
417,10081622,0,"2007-9-3|Baqouba|Iraq|Hostage Taking Kidnapping|",""
418,10081623,0,"Parent: 425 Child: 87",""
419,10081624,0,"2007-9-4|Rawalpindi|Pakistan|Bombing-Explosion|2",""
420,10081625,0,"Parent: 427 Child: 8",""
421,10081626,0,"2007-9-14|Ramadi|Iraq|Bombing-Explosion|3",""
422,10081627,0,"Parent: 429 Child: 87",""
423,10081628,0,"2007-9-16|Muqtadiva|Iraq|Armed Assault|14",""
424,10081629,0,"Parent: 431 Child: 87",""
425,10081630,0,"2007-9-24|Baqouba|Iraq|Bombing-Explosion|20",""
426,10081631,0,"Parent: 433 Child: 87",""
427,10081632,0,"2007-10-29|Fallujahh|Iraq|Armed Assault|1",""
428,10081633,0,"Parent: 435 Child: 87",""
